DATAHORA,ALTURA,INFLEXAO,t,T,n1,n2,h1,h2
2006-07-10 00:00:00,1.2574901576958242,False,167,364,0.6,2.1,0.5616732282027839,0.43832677179721613
2006-07-10 00:10:00,1.3191011820717624,False,177,364,0.6,2.1,0.5205992119521584,0.4794007880478416
2006-07-10 00:20:00,1.3808988179282378,False,187,364,0.6,2.1,0.4794007880478416,0.5205992119521584
2006-07-10 00:30:00,1.4425098423041756,False,197,364,0.6,2.1,0.4383267717972163,0.5616732282027836
2006-07-10 00:40:00,1.503561032238502,False,207,364,0.6,2.1,0.3976259785076655,0.6023740214923345
2006-07-10 00:50:00,1.563679164770141,False,217,364,0.6,2.1,0.35754722348657264,0.6424527765134274
2006-07-10 01:00:00,1.6224910169380191,False,227,364,0.6,2.1,0.31833932204132065,0.6816606779586794
2006-07-10 01:10:00,1.679623365781061,False,237,364,0.6,2.1,0.28025108947929267,0.7197489105207073
2006-07-10 01:20:00,1.7347029883381926,False,247,364,0.6,2.1,0.24353134110787167,0.7564686588921283
2006-07-10 01:30:00,1.7873566616483385,False,257,364,0.6,2.1,0.20842889223444105,0.791571107765559
2006-07-10 01:40:00,1.8372111627504246,False,267,364,0.6,2.1,0.17519255816638368,0.8248074418336163
2006-07-10 01:50:00,1.8838932686833754,False,277,364,0.6,2.1,0.14407115421108319,0.8559288457889168
2006-07-10 02:00:00,1.9270297564861176,False,287,364,0.6,2.1,0.11531349567592164,0.8846865043240784
2006-07-10 02:10:00,1.9662474031975754,False,297,364,0.6,2.1,0.08916839786828312,0.9108316021317169
2006-07-10 02:20:00,2.001172985856675,False,307,364,0.6,2.1,0.06588467609555004,0.93411532390445
2006-07-10 02:30:00,2.0314332815023404,False,317,364,0.6,2.1,0.04571114566510648,0.9542888543348935
2006-07-10 02:40:00,2.056655067173498,False,327,364,0.6,2.1,0.028896621884334728,0.9711033781156653
2006-07-10 02:50:00,2.0764651199090727,False,337,364,0.6,2.1,0.0156899200606182,0.9843100799393818
2006-07-10 03:00:00,2.09049021674799,False,347,364,0.6,2.1,0.006339855501339864,0.9936601444986601
2006-07-10 03:10:00,2.0983571347291763,False,357,364,0.6,2.1,0.0010952435138826822,0.9989047564861173
2006-07-10 03:17:00,2.1,True,0,0,,,,
2006-07-10 03:20:00,2.099702820333152,False,3,392,2.1,0.4,0.9998251884312659,0.00017481156873411588
2006-07-10 03:30:00,2.094515017260028,False,13,392,2.1,0.4,0.9967735395647223,0.003226460435277818
2006-07-10 03:40:00,2.083129621134689,False,23,392,2.1,0.4,0.9900762477262876,0.009923752273712486
2006-07-10 03:50:00,2.0658852982441416,False,33,392,2.1,0.4,0.9799325283789068,0.02006747162109325
2006-07-10 04:00:00,2.0431207148753923,False,43,392,2.1,0.4,0.9665415969855248,0.03345840301447526
2006-07-10 04:10:00,2.015174537315447,False,53,392,2.1,0.4,0.9501026690090864,0.04989733099091365
2006-07-10 04:20:00,1.9823854318513119,False,63,392,2.1,0.4,0.9308149599125364,0.06918504008746357
2006-07-10 04:30:00,1.9450920647699936,False,73,392,2.1,0.4,0.9088776851588198,0.09112231484118014
2006-07-10 04:40:00,1.9036331023584987,False,83,392,2.1,0.4,0.8844900602108815,0.1155099397891185
2006-07-10 04:50:00,1.8583472109038326,False,93,392,2.1,0.4,0.8578513005316662,0.14214869946833378
2006-07-10 05:00:00,1.8095730566930022,False,103,392,2.1,0.4,0.8291606215841189,0.17083937841588115
2006-07-10 05:10:00,1.7576493060130132,False,113,392,2.1,0.4,0.7986172388311842,0.20138276116881576
2006-07-10 05:20:00,1.7029146251508724,False,123,392,2.1,0.4,0.7664203677358074,0.2335796322641926
2006-07-10 05:30:00,1.645707680393586,False,133,392,2.1,0.4,0.7327692237609329,0.2672307762390671
2006-07-10 05:40:00,1.58636713802816,False,143,392,2.1,0.4,0.6978630223695059,0.30213697763049413
2006-07-10 05:50:00,1.5252316643416008,False,153,392,2.1,0.4,0.661900979024471,0.3380990209755289
2006-07-10 06:00:00,1.4626399256209148,False,163,392,2.1,0.4,0.6250823091887734,0.37491769081122656
2006-07-10 06:10:00,1.398930588153108,False,173,392,2.1,0.4,0.5876062283253576,0.4123937716746424
2006-07-10 06:20:00,1.3344423182251868,False,183,392,2.1,0.4,0.5496719518971687,0.45032804810283134
2006-07-10 06:30:00,1.2695137821241573,False,193,392,2.1,0.4,0.5114786953671514,0.4885213046328486
2006-07-10 06:40:00,1.2044836461370263,False,203,392,2.1,0.4,0.4732256741982508,0.5267743258017492
2006-07-10 06:50:00,1.1396905765507996,False,213,392,2.1,0.4,0.4351121038534115,0.5648878961465885
2006-07-10 07:00:00,1.075473239652483,False,223,392,2.1,0.4,0.39733719979557824,0.6026628002044218
2006-07-10 07:10:00,1.012170301729084,False,233,392,2.1,0.4,0.3601001774876964,0.6398998225123036
2006-07-10 07:20:00,0.9501204290676077,False,243,392,2.1,0.4,0.3236002523927104,0.6763997476072896
2006-07-10 07:30:00,0.8896622879550611,False,253,392,2.1,0.4,0.2880366399735653,0.7119633600264347
2006-07-10 07:40:00,0.8311345446784504,False,263,392,2.1,0.4,0.25360855569320606,0.7463914443067939
2006-07-10 07:50:00,0.7748758655247812,False,273,392,2.1,0.4,0.22051521501457716,0.7794847849854228
2006-07-10 08:00:00,0.7212249167810604,False,283,392,2.1,0.4,0.18895583340062372,0.8110441665993763
2006-07-10 08:10:00,0.6705203647342943,False,293,392,2.1,0.4,0.15912962631429073,0.8408703736857093
2006-07-10 08:20:00,0.6231008756714893,False,303,392,2.1,0.4,0.13123580921852307,0.8687641907814769
2006-07-10 08:30:00,0.5793051158796506,False,313,392,2.1,0.4,0.10547359757626507,0.8945264024237349
2006-07-10 08:40:00,0.5394717516457851,False,323,392,2.1,0.4,0.08204220685046182,0.9179577931495382
2006-07-10 08:50:00,0.5039394492568997,False,333,392,2.1,0.4,0.06114085250405865,0.9388591474959413
2006-07-10 09:00:00,0.473046875,False,343,392,2.1,0.4,0.04296875,0.95703125
2006-07-10 09:10:00,0.44713269516209264,False,353,392,2.1,0.4,0.027725114801230966,0.972274885198769
2006-07-10 09:20:00,0.4265355760301828,False,363,392,2.1,0.4,0.015609162370695762,0.9843908376293042
